n_inmueble;area;cuartos;aseos;precio;distrito;n_school;dist_nearest_school;n_hospital;dist_nearest_hosp;n_malls;dist_nearest_mall;n_rest;dist_nearest_rest;n_supermarket;dist_nearest_super;n_bank;dist_nearest_bank
85;132.0;2.0;2.0;270000.0;San Borja;19;0.14545215105878467;0;0.7443310328290081;0;0.7755175907428277;2;0.30053934483390793;0;0.9899486789923982;0;0.7574003157176082
86;320.0;3.0;4.0;850000.0;Santiago de Surco;3;0.41289692616007057;1;0.2260975543765618;0;0.7136618266005605;10;0.14216390264120038;0;0.8018231810686176;1;0.6923142514429673
87;325.0;4.0;5.0;695000.0;San Borja;39;0.17236315417051765;11;0.17743180353034144;38;0.20257475154649496;60;0.055482026867172365;7;0.3066376366530248;27;0.17037506202554176
88;105.0;1.0;2.0;360000.0;Miraflores;34;0.25655499314873936;3;0.3733271407031869;6;0.19885234121870055;60;0.1490075389361776;3;0.2348692669199169;4;0.20002124097533652
89;704.0;3.0;5.0;1500000.0;Santiago de Surco;10;0.22546048199692464;0;0.7271521669515444;8;0.4929029135655098;25;0.05412572514053842;0;0.7278985982119571;5;0.5202890628929577
90;359.0;4.0;3.5;495000.0;Santiago de Surco;18;0.15708768888947724;3;0.3671211721177724;9;0.5334626607141939;49;0.3961942931640409;0;0.7403849374728443;7;0.4220468720950492
91;278.0;3.0;3.0;788090.0;Miraflores;30;0.22449577652661248;8;0.20942285323977905;16;0.25508445366412746;60;0.17412237701700653;4;0.2956900753731462;28;0.24069162978303374
92;100.0;3.0;2.0;95438.0;Breña;60;0.037354029106893775;2;0.4395037148530908;30;0.1349312641994193;60;1.5552813293880568e-05;5;0.28011149270365804;14;1.3834337632701852e-12
93;396.0;4.0;4.0;1624707.0;San Isidro;22;0.17642427797208474;8;0.3457685146466025;1;0.5407486414033145;24;0.16695709618231658;2;0.21232072892549367;15;0.16539710982767475
94;79.0;3.0;2.5;130000.0;Magdalena del Mar;60;0.0744321568596144;14;0.09581028334544082;59;0.06997337754815887;60;0.01740456446822691;7;0.2442925130757836;17;0.14900284865901428
95;50.0;1.0;1.0;135000.0;San Isidro;31;0.12310480807736955;1;0.6849113075386101;20;0.008110048912147543;60;0.03076075445678688;3;0.10017744956962717;34;0.09851221126353428
96;402.0;4.0;4.0;1650947.0;San Isidro;23;0.15807403882529109;7;0.3357653366209545;1;0.5172091444863222;25;0.1548493654812817;2;0.2152952215573076;15;0.14886233114831346
