n_inmuebles;titulo;distrito;area;cuartos;aseos;latitud;longitud;precio;
93;Departamento en Venta Calle Paul De Beaudiez, San Isidro, Lima;San Isidro;396.0;4.0;4.0;-12.104209482093976;-77.05338825186766;1624707.0;
94;Departamento en Venta Jr. Echenique 9xx, Magdalena Del Mar, Lima;Magdalena del Mar;79.0;3.0;2.5;-12.088525958242776;-77.07182290213012;130000.0;
95;Departamento en Venta Calle Conde De La Monclova, San Isidro, Lima;San Isidro;50.0;1.0;1.0;-12.102902154258782;-77.0380036523926;135000.0;
96;Departamento en Venta Calle Paul De Beaudiez, San Isidro, Lima;San Isidro;402.0;4.0;4.0;-12.104083598334837;-77.05358137091673;1650947.0;
97;Departamento en Venta Ricardo Palma, Miraflores, Lima;Miraflores;111.0;2.0;2.0;-12.123272129199801;-77.01695716761475;250000.0;
98;Departamento en Venta Calle Conde De La Monclova, San Isidro, Lima;San Isidro;145.0;3.0;3.0;-12.102936296412766;-77.0381673179993;370000.0;
99;Departamento en Venta Malecon Pazos, Barranco, Lima;Barranco;216.0;3.0;4.0;-12.14645366276185;-77.02389369157106;690000.0;
100;Departamento en Venta Calle Odonovan, Miraflores, Lima;Miraflores;145.0;4.0;2.0;-12.13013331434768;-77.03219058042599;320000.0;
101;Departamento en Venta Bajada Agua Dulce, Chorrillos, Lima;Chorrillos;204.0;3.0;2.0;-12.163771;-77.02343;288728.0;
102;Duplex en Venta Malecon Pazos, Barranco, Lima;Barranco;388.0;3.0;5.0;-12.146831253865647;-77.02374348786623;850000.0;
103;Departamento en Venta Calle Baltazar La Torre, San Isidro, Lima;San Isidro;316.0;3.0;3.0;-12.0989108;-77.05501779999997;780000.0;
104;Duplex en Venta Malecon Pazos, Barranco, Lima;Barranco;216.0;3.0;5.0;-12.146789299325011;-77.02378640321047;690000.0;
105;Departamento en Venta Juan De Aliaga Cdra 4, Magdalena Del Mar, Lima;Magdalena del Mar;106.0;2.0;3.0;-12.0952991;-77.05969920000003;200000.0;
106;Penthouse en Venta Mariscal Sucre N°2xx Dpt 601, Miraflores, Lima;Miraflores;264.0;4.0;4.5;-12.1114717;-77.04082060000002;520000.0;
107;Departamento en Venta Av. La Paz 1000, San Miguel, Lima;San Miguel;61.0;2.0;2.0;-12.0859004;-77.09217380000003;99000.0;
108;Penthouse en Venta Pasaje Bresciani - Barranco, Barranco, Lima;Barranco;668.0;4.0;4.0;-12.1437266;-77.01902280000002;2800000.0;
109;Departamento en Venta Malecón De La Marina N°11xx, Dpto. 1701 B, Miraflores, Lima;Miraflores;348.0;4.0;4.5;-12.113242199999998;-77.0494577;725300.0;
110;Departamento en Venta Malecón Malecon De La Marina N°11xx, Dpto. 1701 B, Miraflores, Lima;Miraflores;348.0;4.0;4.5;-12.1116791;-77.05120690000003;725300.0;
111;Departamento en Venta Av. Juan Antonio Pezet N° 1200, San Isidro, Lima;San Isidro;120.0;2.0;4.0;-12.103005699999999;-77.04988839999999;348000.0;
112;Departamento en Venta La Floresta 180, Santiago De Surco, Lima;Santiago de Surco;200.0;3.0;2.0;-12.162680900000002;-76.98338769999998;420000.0;
113;Departamento en Venta Jr. Giuseppe Verdi, Santiago De Surco, Lima;Santiago de Surco;112.0;2.0;3.0;-12.1416088;-76.99181550000003;175000.0;
114;Penthouse en Venta Calle Contralmirante Villar Con Malecon De La Marina N°4xx, Dpto. Ph 11, Miraflores, Lima;Miraflores;440.0;5.0;4.0;-12.117107051630905;-77.04604167001344;750000.0;
115;Departamento en Venta Av. La Paz, San Miguel, Lima;San Miguel;43.0;1.0;1.0;-12.086467549643242;-77.09095681475833;70000.0;
116;Departamento en Venta Av. Circ. Golf Los Incas Cuadra 8, Santiago De Surco, Lima;Santiago de Surco;237.0;3.0;4.0;-12.0866015;-76.96487330000002;439000.0;
117;Duplex en Venta Monte Blanco 234, Santiago De Surco, Lima;Santiago de Surco;310.0;4.0;6.0;-12.1416088;-76.99181550000003;575000.0;
118;Departamento en Venta Calle Rosendo Vidaurre, Barranco, Lima;Barranco;93.0;3.0;2.0;-12.1366385;-77.01860060000001;173747.0;
119;Departamento en Venta Av. La Paz 1010, San Miguel, Lima;San Miguel;51.0;1.0;2.0;-12.085791699999998;-77.0922329;71800.0;
120;Departamento en Venta Av. El Pacífico, San Miguel, Lima;San Miguel;83.0;3.0;2.0;-12.077492999999999;-77.09340170000002;125000.0;
121;Departamento en Venta Open Plaza De La Marina, San Miguel, Lima;San Miguel;84.0;3.0;3.0;-12.077492999999999;-77.09340170000002;120000.0;
122;Departamento en Venta Los Castaños, San Isidro, Lima;San Isidro;203.0;3.0;4.0;-12.0967046;-77.05038589999998;410000.0;
123;Departamento en Venta Calle Los Cipreses Cda. 2 San Isidro, San Isidro, Lima;San Isidro;134.0;3.0;3.0;-12.0927546902791;-77.04125644603272;330000.0;
124;Duplex en Venta Calle Sergio Bernales Cda 2, Surquillo, Lima;Surquillo;221.0;3.0;3.0;-12.11868233098556;-77.01675392963864;350000.0;
125;Departamento en Venta Calle Los Mirtos, Lince, Lima;Lince;90.0;3.0;3.0;-12.0888396;-77.02691670000002;187257.0;
126;Departamento en Venta Javier Prado Oeste 1002, San Isidro, Lima;San Isidro;160.0;3.0;3.0;-12.0934416;-77.0408946;405000.0;
127;Departamento en Venta Av. La Paz 1010, San Miguel, Lima;San Miguel;63.0;2.0;2.0;-12.085791699999998;-77.0922329;102800.0;
128;Penthouse en Venta Conde De La Vega Del Ren, Santiago De Surco, Lima;Santiago de Surco;431.0;4.0;6.0;-12.1150336;-76.98247529999998;840000.0;
129;Departamento en Venta Tomas Marsano 1623, Surquillo, Lima;Surquillo;91.0;3.0;3.0;-12.1185489;-77.00779799999998;146000.0;
130;Departamento en Venta Monterrico Norte, San Borja, Lima;San Borja;142.0;3.0;4.0;-12.093380774763482;-76.9837744491211;280000.0;
131;Departamento en Venta Jr. Eduardo Astete Mendoza, Santiago De Surco, Lima;Santiago de Surco;125.0;3.0;4.0;-12.1346462;-77.01371019999998;239000.0;
132;Duplex en Venta Mariscal Sucre 2xx, Dpt 601, Miraflores, Lima;Miraflores;264.0;4.0;4.5;-12.111806791918385;-77.0406504609478;520000.0;
133;Departamento en Venta Los Eucaliptos, San Isidro, Lima;San Isidro;218.0;3.0;2.5;-12.098274499999999;-77.04842480000002;840000.0;
134;Duplex en Venta Jr. Santa Elena 220, Santiago De Surco, Lima;Santiago de Surco;247.0;3.0;4.0;-12.107507056356184;-76.96779295097656;420000.0;
135;Departamento en Venta Pasaje El Aromito #1xx, San Isidro, Lima;San Isidro;264.0;3.0;4.0;-12.104698753313347;-77.03321452272338;739000.0;
136;Departamento en Venta Los Canarios, Surquillo, Lima;Surquillo;79.0;3.0;2.0;-12.1062868;-77.0268926;180000.0;
137;Departamento en Venta Vivanda, Sturbacks , Av. Javier Prado, Magdalena Del Mar, Lima;Magdalena del Mar;98.0;3.0;4.0;-12.0882494;-77.06968849999998;198000.0;
138;Duplex en Venta Vilcabamba 191, Santiago De Surco, Lima;Santiago de Surco;360.0;3.0;4.0;-12.114637;-76.99340469999999;410000.0;
139;Departamento en Venta Daniel A. Carrion 671, Magdalena Del Mar, Lima;Magdalena del Mar;110.0;3.0;3.0;-12.0904288;-77.06459430000002;216000.0;
140;Departamento en Venta Calle Teodoro Cardenas, Cercado De Lima, Lima;Cercado de Lima;78.0;3.0;2.0;-12.077835902316178;-77.03605266616209;126951.0;
141;Departamento en Venta Calle Maria Parado De Bellido, Magdalena Del Mar, Lima;Magdalena del Mar;170.0;3.0;2.0;-12.0907675;-77.06032679999998;290000.0;
142;Departamento en Venta Pezet, San Isidro, Lima;San Isidro;453.0;4.0;4.5;-12.102973641080446;-77.04829201599121;1500000.0;
143;Duplex en Venta Reynaldo De Vivanco, Santiago De Surco, Lima;Santiago de Surco;353.0;5.0;5.0;-12.1529054;-76.96658930000002;795000.0;
144;Departamento en Venta Daniel A. Carrion 671, Magdalena Del Mar, Lima;Magdalena del Mar;107.0;3.0;3.0;-12.0904288;-77.06459430000002;215000.0;
145;Departamento en Venta Malecón Pazos N°1xx, Dpto. 701 A, Urb. Pazos, Barranco, Lima;Barranco;270.0;3.0;3.5;-12.1437266;-77.01902280000002;1100000.0;
146;Departamento en Venta Barranco, Lima;Barranco;509.0;4.0;4.5;-12.1512082;-77.02256649999998;1589000.0;
147;Duplex en Venta Museo De Osma, Barranco, Lima;Barranco;752.0;4.0;4.0;-12.1555976;-77.02397129999997;2000000.0;
148;Duplex en Venta Jirón Trinidad, Santiago De Surco, Lima;Santiago de Surco;200.0;4.0;5.0;-12.109846700028813;-76.98743813488774;515000.0;
149;Departamento en Venta Las Laderas N°668, Urb. Casuarinas, Santiago De Surco, Lima;Santiago de Surco;179.0;3.0;2.5;-12.1416088;-76.99181550000003;387000.0;
150;Departamento en Venta Av. Precursores San Miguel, San Miguel, Lima;San Miguel;176.0;4.0;4.0;-12.0698267;-77.09591590000002;170000.0;
151;Departamento en Venta Malecón Pazos N°1xx, Dpto. 801 B, Urb. Pazos, Barranco, Lima;Barranco;270.0;3.0;3.5;-12.1437266;-77.01902280000002;930000.0;
152;Departamento en Venta Malecón De La Marina, Miraflores, Lima;Miraflores;183.0;3.0;3.0;-12.1152552;-77.04842370000001;489000.0;
153;Penthouse en Venta Hotel Golf Los Incas, Santiago De Surco, Lima;Santiago de Surco;789.0;4.0;6.0;-12.0857894;-76.96166879999998;1300000.0;
154;Duplex en Venta Av. Pablo Carriquirry, San Isidro, Lima;San Isidro;330.0;4.0;3.0;-12.094583576826787;-77.0182994178696;590000.0;
155;Departamento en Venta Ovalo Gutierrez, Miraflores, Lima;Miraflores;280.0;3.0;3.5;-12.111190800000001;-77.03963429999997;824000.0;
156;Duplex en Venta Calle Los Granados, Santiago De Surco, Lima;Santiago de Surco;224.0;3.0;5.0;-12.1286826;-76.9701569;327000.0;
157;Duplex en Venta Calle Ramadal, Santiago De Surco, Lima;Santiago de Surco;230.0;4.0;7.0;-12.119190217790887;-76.97853868360596;380000.0;
